batch_size,flops,formula,forward_id,kv_len,layer_idx,op_name,phase,q_len,source
1,3189768192,2*B*H*Q*KV*HEAD_DIM,1,624,8,attn_qk_matmul,prefill,624,formula
1,3189768192,2*B*H*Q*KV*HEAD_DIM,1,624,8,attn_sv_matmul,prefill,624,formula
1,20937965568,2*B*Q*D*D,1,624,8,o_proj,prefill,624,formula
1,56270782464,2*B*Q*D*FFN,1,624,8,mlp_gate_proj,prefill,624,formula
1,56270782464,2*B*Q*D*FFN,1,624,8,mlp_up_proj,prefill,624,formula
1,56270782464,2*B*Q*FFN*D,1,624,8,mlp_down_proj,prefill,624,formula
1,20937965568,2*B*Q*D*D,1,624,9,q_proj,prefill,624,formula
1,20937965568,2*B*Q*D*KV_DIM,1,624,9,k_proj,prefill,624,formula
1,20937965568,2*B*Q*D*KV_DIM,1,624,9,v_proj,prefill,624,formula
1,3189768192,2*B*H*Q*KV*HEAD_DIM,1,624,9,attn_qk_matmul,prefill,624,formula
1,3189768192,2*B*H*Q*KV*HEAD_DIM,1,624,9,attn_sv_matmul,prefill,624,formula
1,20937965568,2*B*Q*D*D,1,624,9,o_proj,prefill,624,formula
1,56270782464,2*B*Q*D*FFN,1,624,9,mlp_gate_proj,prefill,624,formula
1,56270782464,2*B*Q*D*FFN,1,624,9,mlp_up_proj,prefill,624,formula
1,56270782464,2*B*Q*FFN*D,1,624,9,mlp_down_proj,prefill,624,formula
1,20937965568,2*B*Q*D*D,1,624,10,q_proj,prefill,624,formula
1,20937965568,2*B*Q*D*KV_DIM,1,624,10,k_proj,prefill,624,formula
1,20937965568,2*B*Q*D*KV_DIM,1,624,10,v_proj,prefill,624,formula
1,3189768192,2*B*H*Q*KV*HEAD_DIM,1,624,10,attn_qk_matmul,prefill,624,formula
1,3189768192,2*B*H*Q*KV*HEAD_DIM,1,624,10,attn_sv_matmul,prefill,624,formula
1,20937965568,2*B*Q*D*D,1,624,10,o_proj,prefill,624,formula
1,56270782464,2*B*Q*D*FFN,1,624,10,mlp_gate_proj,prefill,624,formula
1,56270782464,2*B*Q*D*FFN,1,624,10,mlp_up_proj,prefill,624,formula
1,56270782464,2*B*Q*FFN*D,1,624,10,mlp_down_proj,prefill,624,formula
1,20937965568,2*B*Q*D*D,1,624,11,q_proj,prefill,624,formula
1,20937965568,2*B*Q*D*KV_DIM,1,624,11,k_proj,prefill,624,formula
1,20937965568,2*B*Q*D*KV_DIM,1,624,11,v_proj,prefill,624,formula
1,3189768192,2*B*H*Q*KV*HEAD_DIM,1,624,11,attn_qk_matmul,prefill,624,formula
1,3189768192,2*B*H*Q*KV*HEAD_DIM,1,624,11,attn_sv_matmul,prefill,624,formula
1,20937965568,2*B*Q*D*D,1,624,11,o_proj,prefill,624,formula
1,56270782464,2*B*Q*D*FFN,1,624,11,mlp_gate_proj,prefill,624,formula
1,56270782464,2*B*Q*D*FFN,1,624,11,mlp_up_proj,prefill,624,formula
1,56270782464,2*B*Q*FFN*D,1,624,11,mlp_down_proj,prefill,624,formula
