batch_size,dispatch_captured,forward_id,hidden_shape_in,hidden_shape_out,kv_len,layer_idx,layer_module_path,past_len,phase,position_shape,q_len
1,False,4,"[1, 1, 4096]","[1, 1, 4096]",51,31,model.layers.31,50,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",628,0,model.layers.31,627,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",628,1,model.layers.31,627,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",628,2,model.layers.31,627,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",628,3,model.layers.31,627,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",628,4,model.layers.31,627,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",628,5,model.layers.31,627,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",628,6,model.layers.31,627,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",628,7,model.layers.31,627,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",628,8,model.layers.31,627,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",628,9,model.layers.31,627,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",628,10,model.layers.31,627,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",628,11,model.layers.31,627,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",628,12,model.layers.31,627,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",628,13,model.layers.31,627,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",628,14,model.layers.31,627,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",628,15,model.layers.31,627,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",628,16,model.layers.31,627,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",628,17,model.layers.31,627,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",628,18,model.layers.31,627,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",62,19,model.layers.31,61,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",62,20,model.layers.31,61,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",62,21,model.layers.31,61,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",62,22,model.layers.31,61,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",62,23,model.layers.31,61,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",62,24,model.layers.31,61,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",62,25,model.layers.31,61,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",62,26,model.layers.31,61,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",62,27,model.layers.31,61,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",52,28,model.layers.31,51,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",52,29,model.layers.31,51,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",52,30,model.layers.31,51,decode,"[1, 1]",1
1,False,5,"[1, 1, 4096]","[1, 1, 4096]",52,31,model.layers.31,51,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",629,0,model.layers.31,628,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",629,1,model.layers.31,628,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",629,2,model.layers.31,628,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",629,3,model.layers.31,628,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",629,4,model.layers.31,628,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",629,5,model.layers.31,628,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",629,6,model.layers.31,628,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",629,7,model.layers.31,628,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",629,8,model.layers.31,628,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",629,9,model.layers.31,628,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",629,10,model.layers.31,628,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",629,11,model.layers.31,628,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",629,12,model.layers.31,628,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",629,13,model.layers.31,628,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",629,14,model.layers.31,628,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",629,15,model.layers.31,628,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",629,16,model.layers.31,628,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",629,17,model.layers.31,628,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",629,18,model.layers.31,628,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",63,19,model.layers.31,62,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",63,20,model.layers.31,62,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",63,21,model.layers.31,62,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",63,22,model.layers.31,62,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",63,23,model.layers.31,62,decode,"[1, 1]",1
